date,ndvi,max_temp,rainfall_mm,month,bloom,risk_score,geometry
2019-01-01,0.1611,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2019-01-17,0.1713,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2019-02-02,0.1697,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2019-02-18,0.1767,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2019-03-06,0.1663,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2019-03-22,0.1492,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2019-04-07,0.1543,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2019-04-23,0.1879,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2019-05-09,0.1762,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2019-05-25,0.168,28.51999982,0.0,5,0,0.4,POINT (72.05 22.77)
2019-06-10,0.1591,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2019-06-26,0.0632,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2019-07-12,0.133,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2019-07-28,0.0097,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2019-08-13,,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2019-08-29,-0.021,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2019-09-14,0.1641,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2019-09-30,0.2612,28.51999982,0.0,9,0,0.4,POINT (72.05 22.77)
2019-10-16,0.4202,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
2019-11-01,0.6334,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2019-11-17,0.5636,28.51999982,0.0,11,1,0.8,POINT (72.05 22.77)
2019-12-03,0.3778,28.51999982,0.0,12,0,0.4,POINT (72.05 22.77)
2019-12-19,0.4436,28.51999982,0.0,12,1,0.8,POINT (72.05 22.77)
2020-01-01,0.4487,28.51999982,0.0,1,0,0.8,POINT (72.05 22.77)
2020-01-17,0.3672,28.51999982,0.0,1,0,0.4,POINT (72.05 22.77)
2020-02-02,0.3917,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2020-02-18,0.3557,28.51999982,0.0,2,0,0.4,POINT (72.05 22.77)
2020-03-05,0.3244,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2020-03-21,0.3791,28.51999982,0.0,3,0,0.4,POINT (72.05 22.77)
2020-04-06,0.3908,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2020-04-22,0.3831,28.51999982,0.0,4,0,0.4,POINT (72.05 22.77)
2020-05-08,0.4056,28.51999982,0.0,5,0,0.8,POINT (72.05 22.77)
2020-05-24,0.4355,28.51999982,0.0,5,0,0.8,POINT (72.05 22.77)
2020-06-09,0.3122,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2020-06-25,0.3378,28.51999982,0.0,6,0,0.4,POINT (72.05 22.77)
2020-07-11,0.1465,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2020-07-27,0.316,28.51999982,0.0,7,0,0.4,POINT (72.05 22.77)
2020-08-12,0.0083,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2020-08-28,0.0397,28.51999982,0.0,8,0,0.4,POINT (72.05 22.77)
2020-09-13,0.406,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2020-09-29,0.4242,28.51999982,0.0,9,0,0.8,POINT (72.05 22.77)
2020-10-15,0.6072,28.51999982,0.0,10,1,0.8,POINT (72.05 22.77)
